x,y,label,time,motherx,mothery
9,10,1,421,9,11
9,11,1,364,9,12
9,12,1,312,8,12
9,13,1,272,8,13
9,14,1,228,8,14
9,15,1,188,8,15
9,16,1,157,8,16
9,17,1,194,8,17
9,18,1,234,8,18
9,19,1,279,8,19
9,20,1,328,8,20
9,21,1,381,8,21
9,22,1,434,8,22
9,23,1,496,9,22
9,24,1,562,9,23
9,25,1,632,9,24
9,26,1,706,9,25
9,27,1,784,9,26
9,28,1,866,9,27
9,29,1,952,9,28
9,30,1,1042,9,29
9,31,1,1136,9,30
9,32,1,1234,9,31
9,33,1,1334,9,32
9,34,1,1430,9,33
9,35,1,1522,9,34
9,36,1,1610,9,35
9,37,1,1694,9,36
9,38,1,1774,9,37
9,39,1,1849,9,38
9,40,1,1920,9,39
9,41,1,1970,9,42
9,42,1,1902,9,43
9,43,1,1830,9,44
9,44,1,1754,9,45
9,45,1,1674,9,46
9,46,1,1589,9,47
9,47,1,1500,9,48
9,48,1,1407,9,49
9,49,1,1310,9,0
10,0,1,1309,10,1
10,1,1,1210,10,2
10,2,1,1113,10,3
10,3,1,1020,10,4
10,4,1,931,10,5
10,5,1,846,10,6
10,6,1,765,10,7
10,7,1,688,10,8
10,8,1,615,10,9
10,9,1,546,10,10
10,10,1,481,10,11
10,11,1,420,9,11
10,12,1,365,9,12
10,13,1,321,9,13
10,14,1,273,9,14
10,15,1,229,9,15
10,16,1,195,9,16
10,17,1,236,9,17
10,18,1,280,9,18
10,19,1,329,9,19
10,20,1,382,9,20
10,21,1,439,9,21
10,22,1,495,9,22
10,23,1,560,10,22
10,24,1,630,10,23
10,25,1,704,10,24
10,26,1,782,10,25
10,27,1,864,10,26
10,28,1,950,10,27
10,29,1,1040,10,28
10,30,1,1134,10,29
10,31,1,1232,10,30
10,32,1,1332,10,31
10,33,1,1428,10,32
10,34,1,1520,10,33
10,35,1,1608,10,34
10,36,1,1692,10,35
10,37,1,1772,10,36
10,38,1,1848,10,37
10,39,1,1919,10,38
10,40,1,1986,10,39
10,41,1,2033,10,42
10,42,1,1969,10,43
10,43,1,1901,10,44
10,44,1,1829,10,45
10,45,1,1753,10,46
10,46,1,1673,10,47
10,47,1,1588,10,48
10,48,1,1499,10,49
10,49,1,1406,10,0
11,0,1,1404,11,1
11,1,1,1307,11,2
11,2,1,1208,11,3
11,3,1,1111,11,4
11,4,1,1018,11,5
11,5,1,929,11,6
11,6,1,844,11,7
11,7,1,763,11,8
11,8,1,686,11,9
11,9,1,613,11,10
11,10,1,544,11,11
11,11,1,480,10,11
11,12,1,422,10,12
11,13,1,374,10,13
11,14,1,322,10,14
11,15,1,274,10,15
11,16,1,237,10,16
11,17,1,282,10,17
11,18,1,330,10,18
11,19,1,383,10,19
11,20,1,440,10,20
11,21,1,501,10,21
11,22,1,561,10,22
11,23,1,629,10,23
11,24,1,702,11,23
11,25,1,780,11,24
11,26,1,862,11,25
11,27,1,948,11,26
11,28,1,1038,11,27
11,29,1,1132,11,28
11,30,1,1230,11,29
11,31,1,1330,11,30
11,32,1,1426,11,31
11,33,1,1518,11,32
11,34,1,1606,11,33
11,35,1,1690,11,34
11,36,1,1770,11,35
11,37,1,1846,11,36
11,38,1,1918,11,37
11,39,1,1985,11,38
11,40,1,2048,11,39
11,41,1,2092,11,42
11,42,1,2032,11,43
11,43,1,1968,11,44
11,44,1,1900,11,45
11,45,1,1828,11,46
11,46,1,1752,11,47
11,47,1,1671,11,48
11,48,1,1586,11,49
11,49,1,1497,11,0
12,0,1,1496,12,1
12,1,1,1403,12,2
12,2,1,1306,12,3
12,3,1,1207,12,4
12,4,1,1110,12,5
12,5,1,1017,12,6
12,6,1,928,12,7
12,7,1,843,12,8
12,8,1,762,12,9
12,9,1,685,12,10
12,10,1,612,11,10
12,11,1,545,11,11
12,12,1,483,11,12
12,13,1,431,11,13
12,14,1,375,11,14
12,15,1,323,11,15
12,16,1,283,11,16
12,17,1,332,11,17
12,18,1,384,11,18
12,19,1,441,11,19
12,20,1,502,11,20
12,21,1,567,11,21
12,22,1,631,11,22
12,23,1,703,11,23
12,24,1,779,11,24
12,25,1,861,12,24
12,26,1,947,12,25
12,27,1,1037,12,26
12,28,1,1131,12,27
12,29,1,1229,12,28
12,30,1,1329,12,29
12,31,1,1425,12,30
12,32,1,1517,12,31
12,33,1,1605,12,32
12,34,1,1689,12,33
12,35,1,1769,12,34
12,36,1,1845,12,35
12,37,1,1917,12,36
12,38,1,1984,12,37
12,39,1,2047,12,38
12,40,1,2106,12,39
